,nse_symbol,screener_symbol,screener_url,nse_name,ticker_symbol
0,RELIANCE,RELIANCE,https://www.screener.in/company/RELIANCE/consolidated/,Reliance Industries Limited,RELIANCE
1,TCS,TCS,https://www.screener.in/company/TCS/consolidated/,Tata Consultancy Services Limited,TCS
2,HDFCBANK,HDFCBANK,https://www.screener.in/company/HDFCBANK/consolidated/,HDFC Bank Limited,HDFCBANK
3,ICICIBANK,ICICIBANK,https://www.screener.in/company/ICICIBANK/consolidated/,HDFC Bank Limited,ICICIBANK
4,BHARTIARTL,BHARTIARTL,https://www.screener.in/company/BHARTIARTL/consolidated/,Bharti Airtel Limited,BHARTIARTL
5,SBIN,SBIN,https://www.screener.in/company/SBIN/consolidated/,State Bank of India,SBIN
6,INFY,INFY,https://www.screener.in/company/INFY/consolidated/,Infosys Limited,INFY
7,LICI,LICI,https://www.screener.in/company/LICI/consolidated/,Life Insurance Corporation Of India,LICI
8,ITC,ITC,https://www.screener.in/company/ITC/consolidated/,ITC Limited,ITC
9,HINDUNILVR,HINDUNILVR,https://www.screener.in/company/HINDUNILVR/consolidated/,Hindustan Unilever Limited,HINDUNILVR
10,LT,LT,https://www.screener.in/company/LT/consolidated/,Larsen & Toubro Limited,LT
11,BAJFINANCE,BAJFINANCE,https://www.screener.in/company/BAJFINANCE/consolidated/,Bajaj Finance Limited,BAJFINANCE
12,HCLTECH,HCLTECH,https://www.screener.in/company/HCLTECH/consolidated/,HCL Technologies Limited,HCLTECH
13,MARUTI,MARUTI,https://www.screener.in/company/MARUTI/consolidated/,Maruti Suzuki India Limited,MARUTI
14,SUNPHARMA,SUNPHARMA,https://www.screener.in/company/SUNPHARMA/consolidated/,Sun Pharmaceutical Industries Limited,SUNPHARMA
15,ADANIENT,ADANIENT,https://www.screener.in/company/ADANIENT/consolidated/,Adani Enterprises Limited,ADANIENT
16,KOTAKBANK,KOTAKBANK,https://www.screener.in/company/KOTAKBANK/consolidated/,Kotak Mahindra Bank Limited,KOTAKBANK
17,TITAN,TITAN,https://www.screener.in/company/TITAN/consolidated/,Titan Company Limited,TITAN
18,ONGC,ONGC,https://www.screener.in/company/ONGC/consolidated/,Oil & Natural Gas Corporation Limited,ONGC
19,TATAMOTORS,TATAMOTORS,https://www.screener.in/company/TATAMOTORS/consolidated/,Tata Motors Limited,TATAMOTORS
20,NTPC,NTPC,https://www.screener.in/company/NTPC/consolidated/,NTPC Limited,NTPC
21,AXISBANK,AXISBANK,https://www.screener.in/company/AXISBANK/consolidated/,Axis Bank Limited,AXISBANK
22,DMART,DMART,https://www.screener.in/company/DMART/consolidated/,Avenue Supermarts Limited,DMART
23,ADANIGREEN,ADANIGREEN,https://www.screener.in/company/ADANIGREEN/consolidated/,Adani Green Energy Limited,ADANIGREEN
24,ADANIPORTS,ADANIPORTS,https://www.screener.in/company/ADANIPORTS/consolidated/,Adani Ports and Special Economic Zone Limited,ADANIPORTS
25,ULTRACEMCO,ULTRACEMCO,https://www.screener.in/company/ULTRACEMCO/consolidated/,UltraTech Cement Limited,ULTRACEMCO
26,ASIANPAINT,ASIANPAINT,https://www.screener.in/company/ASIANPAINT/consolidated/,Asian Paints Limited,ASIANPAINT
27,COALINDIA,COALINDIA,https://www.screener.in/company/COALINDIA/consolidated/,Coal India Limited,COALINDIA
28,BAJAJFINSV,BAJAJFINSV,https://www.screener.in/company/BAJAJFINSV/consolidated/,Bajaj Finserv Limited,BAJAJFINSV
29,BAJAJ-AUTO,BAJAJ-AUTO,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,Bajaj Auto Limited,BAJAJ-AUTO
30,POWERGRID,POWERGRID,https://www.screener.in/company/POWERGRID/consolidated/,Power Grid Corporation of India Limited,POWERGRID
31,NESTLEIND,NESTLEIND,https://www.screener.in/company/NESTLEIND/,Nestle India Limited,NESTLEIND
32,WIPRO,WIPRO,https://www.screener.in/company/WIPRO/consolidated/,Wipro Limited,WIPRO
33,M&M,M&M,https://www.screener.in/company/M&M/consolidated/,Mahindra & Mahindra Limited,M&M
34,IOC,IOC,https://www.screener.in/company/IOC/consolidated/,Indian Oil Corporation Limited,IOC
35,JIOFIN,JIOFIN,https://www.screener.in/company/JIOFIN/consolidated/,Jio Financial Services Limited,JIOFIN
36,HAL,HAL,https://www.screener.in/company/HAL/,Hindustan Aeronautics Limited,HAL
37,DLF,DLF,https://www.screener.in/company/DLF/consolidated/,DLF Limited,DLF
38,ADANIPOWER,ADANIPOWER,https://www.screener.in/company/ADANIPOWER/consolidated/,Adani Power Limited,ADANIPOWER
39,JSWSTEEL,JSWSTEEL,https://www.screener.in/company/JSWSTEEL/consolidated/,JSW Steel Limited,JSWSTEEL
40,TATASTEEL,TATASTEEL,https://www.screener.in/company/TATASTEEL/consolidated/,Tata Steel Limited,TATASTEEL
41,SIEMENS,SIEMENS,https://www.screener.in/company/SIEMENS/consolidated/,Siemens Limited,SIEMENS
42,IRFC,IRFC,https://www.screener.in/company/IRFC/,Indian Railway Finance Corporation Limited,IRFC
43,VBL,VBL,https://www.screener.in/company/VBL/consolidated/,Varun Beverages Limited,VBL
44,ZOMATO,ZOMATO,https://www.screener.in/company/ZOMATO/consolidated/,Zomato Limited,ZOMATO
45,PIDILITIND,PIDILITIND,https://www.screener.in/company/PIDILITIND/consolidated/,Pidilite Industries Limited,PIDILITIND
46,GRASIM,GRASIM,https://www.screener.in/company/GRASIM/consolidated/,Grasim Industries Limited,GRASIM
47,SBILIFE,SBILIFE,https://www.screener.in/company/SBILIFE/,SBI Life Insurance Company Limited,SBILIFE
48,BEL,BEL,https://www.screener.in/company/BEL/consolidated/,Bharat Electronics Limited,BEL
49,LTIM,LTIM,https://www.screener.in/company/LTIM/consolidated/,LTIMindtree Limited,LTIM
50,TRENT,TRENT,https://www.screener.in/company/TRENT/consolidated/,Trent Limited,TRENT
51,PNB,PNB,https://www.screener.in/company/PNB/consolidated/,Punjab National Bank,PNB
52,INDIGO,INDIGO,https://www.screener.in/company/INDIGO/,InterGlobe Aviation Limited,INDIGO
53,BANKBARODA,BANKBARODA,https://www.screener.in/company/BANKBARODA/consolidated/,Bank of Baroda,BANKBARODA
54,HDFCLIFE,HDFCLIFE,https://www.screener.in/company/HDFCLIFE/consolidated/,HDFC Life Insurance Company Limited,HDFCLIFE
55,ABB,ABB,https://www.screener.in/company/ABB/,ABB India Limited,ABB
56,BPCL,BPCL,https://www.screener.in/company/BPCL/consolidated/,Bharat Petroleum Corporation Limited,BPCL
57,PFC,PFC,https://www.screener.in/company/PFC/consolidated/,Power Finance Corporation Limited,PFC
58,GODREJCP,GODREJCP,https://www.screener.in/company/GODREJCP/consolidated/,Godrej Consumer Products Limited,GODREJCP
59,TATAPOWER,TATAPOWER,https://www.screener.in/company/TATAPOWER/consolidated/,Tata Power Company Limited,TATAPOWER
60,HINDALCO,HINDALCO,https://www.screener.in/company/HINDALCO/consolidated/,Hindalco Industries Limited,HINDALCO
61,HINDZINC,HINDZINC,https://www.screener.in/company/HINDZINC/,Hindustan Zinc Limited,HINDZINC
62,TECHM,TECHM,https://www.screener.in/company/TECHM/consolidated/,Tech Mahindra Limited,TECHM
63,AMBUJACEM,AMBUJACEM,https://www.screener.in/company/AMBUJACEM/consolidated/,Ambuja Cements Limited,AMBUJACEM
64,INDUSINDBK,INDUSINDBK,https://www.screener.in/company/INDUSINDBK/,IndusInd Bank Limited,INDUSINDBK
65,CIPLA,CIPLA,https://www.screener.in/company/CIPLA/consolidated/,Cipla Limited,CIPLA
66,GAIL,GAIL,https://www.screener.in/company/GAIL/consolidated/,GAIL (India) Limited,GAIL
67,RECLTD,RECLTD,https://www.screener.in/company/RECLTD/consolidated/,REC Limited,RECLTD
68,BRITANNIA,BRITANNIA,https://www.screener.in/company/BRITANNIA/consolidated/,Britannia Industries Limited,BRITANNIA
69,UNIONBANK,UNIONBANK,https://www.screener.in/company/UNIONBANK/consolidated/,Union Bank of India,UNIONBANK
70,ADANIENSOL,ADANIENSOL,https://www.screener.in/company/ADANIENSOL/consolidated/,Adani Energy Solutions Limited,ADANIENSOL
71,IOB,IOB,https://www.screener.in/company/IOB/,Indian Overseas Bank,IOB
72,LODHA,LODHA,https://www.screener.in/company/LODHA/consolidated/,Macrotech Developers Limited,LODHA
73,EICHERMOT,EICHERMOT,https://www.screener.in/company/EICHERMOT/consolidated/,Eicher Motors Limited,EICHERMOT
74,CANBK,CANBK,https://www.screener.in/company/CANBK/consolidated/,Canara Bank,CANBK
75,TATACONSUM,TATACONSUM,https://www.screener.in/company/TATACONSUM/consolidated/,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
76,DRREDDY,DRREDDY,https://www.screener.in/company/DRREDDY/consolidated/,Dr. Reddy's Laboratories Limited,DRREDDY
77,TVSMOTOR,TVSMOTOR,https://www.screener.in/company/TVSMOTOR/consolidated/,TVS Motor Company Limited,TVSMOTOR
78,ZYDUSLIFE,ZYDUSLIFE,https://www.screener.in/company/ZYDUSLIFE/consolidated/,Zydus Lifesciences Limited,ZYDUSLIFE
79,ATGL,ATGL,https://www.screener.in/company/ATGL/consolidated/,Adani Total Gas Limited,ATGL
80,VEDL,VEDL,https://www.screener.in/company/VEDL/consolidated/,Vedanta Limited,VEDL
81,CHOLAFIN,CHOLAFIN,https://www.screener.in/company/CHOLAFIN/consolidated/,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
82,HAVELLS,HAVELLS,https://www.screener.in/company/HAVELLS/consolidated/,Havells India Limited,HAVELLS
83,HEROMOTOCO,HEROMOTOCO,https://www.screener.in/company/HEROMOTOCO/consolidated/,Hero MotoCorp Limited,HEROMOTOCO
84,DABUR,DABUR,https://www.screener.in/company/DABUR/consolidated/,Dabur India Limited,DABUR
85,SHREECEM,SHREECEM,https://www.screener.in/company/SHREECEM/consolidated/,SHREE CEMENT LIMITED,SHREECEM
86,MANKIND,MANKIND,https://www.screener.in/company/MANKIND/,Mankind Pharma Limited,MANKIND
87,BAJAJHLDNG,BAJAJHLDNG,https://www.screener.in/company/BAJAJHLDNG/consolidated/,Bajaj Holdings & Investment Limited,BAJAJHLDNG
88,DIVISLAB,DIVISLAB,https://www.screener.in/company/DIVISLAB/consolidated/,Divi's Laboratories Limited,DIVISLAB
89,APOLLOHOSP,APOLLOHOSP,https://www.screener.in/company/APOLLOHOSP/consolidated/,Apollo Hospitals Enterprise Limited,APOLLOHOSP
90,NHPC,NHPC,https://www.screener.in/company/NHPC/consolidated/,NHPC Limited,NHPC
91,SHRIRAMFIN,SHRIRAMFIN,https://www.screener.in/company/SHRIRAMFIN/consolidated/,Shriram Finance Limited,SHRIRAMFIN
92,BOSCHLTD,BOSCHLTD,https://www.screener.in/company/BOSCHLTD/,Bosch Limited,BOSCHLTD
93,TORNTPHARM,TORNTPHARM,https://www.screener.in/company/TORNTPHARM/consolidated/,Torrent Pharmaceuticals Limited,TORNTPHARM
94,ICICIPRULI,ICICIPRULI,https://www.screener.in/company/ICICIPRULI/consolidated/,ICICI Prudential Life Insurance Company Limited,ICICIPRULI
95,IDBI,IDBI,https://www.screener.in/company/IDBI/consolidated/,IDBI Bank Limited,IDBI
96,JSWENERGY,JSWENERGY,https://www.screener.in/company/JSWENERGY/consolidated/,JSW Energy Limited,JSWENERGY
97,JINDALSTEL,JINDALSTEL,https://www.screener.in/company/JINDALSTEL/consolidated/,Jindal Steel & Power Limited,JINDALSTEL
98,BHEL,BHEL,https://www.screener.in/company/BHEL/consolidated/,Bharat Heavy Electricals Limited,BHEL
99,INDHOTEL,INDHOTEL,https://www.screener.in/company/INDHOTEL/consolidated/,The Indian Hotels Company Limited,INDHOTEL
100,CUMMINSIND,CUMMINSIND,https://www.screener.in/company/CUMMINSIND/,Cummins India Limited,CUMMINSIND
101,ICICIGI,ICICIGI,https://www.screener.in/company/ICICIGI/,ICICI Lombard General Insurance Company Limited,ICICIGI
102,CGPOWER,CGPOWER,https://www.screener.in/company/CGPOWER/consolidated/,CG Power and Industrial Solutions Limited,CGPOWER
103,UNITDSPR,UNITDSPR,https://www.screener.in/company/UNITDSPR/consolidated/,United Spirits Limited,UNITDSPR
104,HDFCAMC,HDFCAMC,https://www.screener.in/company/HDFCAMC/,HDFC Asset Management Company Limited,HDFCAMC
105,MAXHEALTH,MAXHEALTH,https://www.screener.in/company/MAXHEALTH/consolidated/,Max Healthcare Institute Limited,MAXHEALTH
106,SOLARINDS,SOLARINDS,https://www.screener.in/company/SOLARINDS/consolidated/,Solar Industries India Limited,SOLARINDS
107,MOTHERSON,MOTHERSON,https://www.screener.in/company/MOTHERSON/consolidated/,Samvardhana Motherson International Limited,MOTHERSON
108,INDUSTOWER,INDUSTOWER,https://www.screener.in/company/INDUSTOWER/consolidated/,Indus Towers Limited,INDUSTOWER
109,POLYCAB,POLYCAB,https://www.screener.in/company/POLYCAB/consolidated/,Polycab India Limited,POLYCAB
110,OFSS,OFSS,https://www.screener.in/company/OFSS/consolidated/,Oracle Financial Services Software Limited,OFSS
111,SRF,SRF,https://www.screener.in/company/SRF/consolidated/,SRF Limited,SRF
112,IRCTC,IRCTC,https://www.screener.in/company/IRCTC/,Indian Railway Catering And Tourism Corporation Limited,IRCTC
113,COLPAL,COLPAL,https://www.screener.in/company/COLPAL/,Colgate Palmolive (India) Limited,COLPAL
114,LUPIN,LUPIN,https://www.screener.in/company/LUPIN/consolidated/,Lupin Limited,LUPIN
115,NAUKRI,NAUKRI,https://www.screener.in/company/NAUKRI/consolidated/,Info Edge (India) Limited,NAUKRI
116,TIINDIA,TIINDIA,https://www.screener.in/company/TIINDIA/consolidated/,Tube Investments of India Limited,TIINDIA
117,INDIANB,INDIANB,https://www.screener.in/company/INDIANB/consolidated/,Indian Bank,INDIANB
118,HINDPETRO,HINDPETRO,https://www.screener.in/company/HINDPETRO/consolidated/,Hindustan Petroleum Corporation Limited,HINDPETRO
119,BERGEPAINT,BERGEPAINT,https://www.screener.in/company/BERGEPAINT/consolidated/,Berger Paints (I) Limited,BERGEPAINT
120,YESBANK,YESBANK,https://www.screener.in/company/YESBANK/consolidated/,Yes Bank Limited,YESBANK
